ra dec Kp
11.235839 4.357621 11.77
18.582076 3.62014 11.78
17.757165 10.153457 11.78
22.970604 4.990028 11.78
10.734534 8.484676 11.78
13.181334 6.342474 11.78
18.276158 0.89016 11.78
17.806309 7.39007 11.79
14.623172 7.244508 11.79
20.323687 10.97711 11.79
12.172878 10.335704 11.79
18.231368 11.339954 11.79
18.538277 3.521296 11.79
22.229682 5.467167 11.79
20.138813 11.28972 11.79
18.790002 3.145443 11.79
15.373011 12.255259 11.8
18.133468 7.487557 11.8
14.716442 3.066048 11.8
15.262596 10.273309 11.8
18.281012 2.057598 11.8
15.732716 5.53255 11.81
16.542946 1.110212 11.81
14.947486 3.90482 11.81
15.767899 5.656519 11.81
17.044795 10.650477 11.81
22.376361 2.720162 11.81
14.346718 3.269076 11.81
18.887265 2.788718 11.81
12.491967 3.726754 11.82
19.906117 1.923897 11.82
18.799197 10.157512 11.82
10.952426 2.321578 11.82
12.385668 -0.002249 11.82
11.704221 6.213922 11.82
23.29405 6.993099 11.82
11.086267 9.126274 11.82
17.161041 9.501776 11.82
17.27914 9.030218 11.82
19.441793 -0.255063 11.82
9.514358 4.256439 11.82
11.69634 6.636416 11.82
18.643225 2.735185 11.82
18.116691 4.350634 11.83
18.583197 3.575746 11.83
13.63716 4.500797 11.83
18.262783 6.235871 11.83
14.55442 3.70138 11.83
15.485336 5.655098 11.84
16.410382 6.647424 11.84
18.032541 2.286115 11.84
20.919329 1.941086 11.84
18.973309 10.829251 11.84
17.593551 -1.812118 11.85
19.952204 1.869429 11.85
14.136601 8.558951 11.85
12.927809 -1.32208 11.85
19.555212 10.829863 11.86
18.944397 10.751949 11.86
13.345165 -1.586252 11.86
16.370416 2.179077 11.86
14.167642 2.782827 11.86
13.564066 10.548222 11.86
11.368909 5.267307 11.87
13.282048 -1.590637 11.87
18.878276 0.143454 11.87
19.625719 6.547084 11.87
15.882631 9.572147 11.87
12.968901 9.990126 11.87
21.972835 3.483476 11.87
13.054117 9.696922 11.87
22.46065 3.286161 11.87
13.398918 7.247666 11.87
13.502402 4.615349 11.87
13.24005 9.832906 11.88
22.931219 5.993844 11.88
20.078689 10.53532 11.88
16.057297 11.029415 11.88
17.795081 3.741195 11.88
18.122778 8.768889 11.88
18.319037 2.001744 11.88
10.031036 7.8369 11.89
15.227723 8.052082 11.89
13.277514 11.154229 11.89
20.09934 10.882442 11.89
10.864539 7.589119 11.9
15.212837 11.424008 11.9
16.709652 -1.945835 11.9
9.292474 4.486376 11.91
19.185692 10.251095 11.91
15.618427 9.544874 11.91
16.547517 1.062326 11.91
14.661769 7.045408 11.91
15.896894 9.563131 11.91
15.995132 8.846918 11.91
12.472943 -0.569128 11.91
12.504546 5.945729 11.92
13.350453 9.620556 11.92
21.338142 2.456282 11.93
12.762812 8.687449 11.93
16.10861 11.991102 11.93
18.249962 4.307967 11.93
13.473349 9.281955 11.93
13.351828 -1.841131 11.93
14.688296 1.041635 11.94
22.406025 5.200687 11.94
12.537028 2.663466 11.94
22.670317 6.811498 11.94
14.07976 8.570133 11.94
14.154564 12.078969 11.94
17.112106 -0.848358 11.94
18.270992 1.900048 11.94
9.505331 3.110419 11.94
12.130762 10.299633 11.95
16.924351 3.01798 11.95
14.393256 6.173412 11.95
14.161874 6.840904 11.95
18.452934 4.09788 11.95
11.017535 1.737734 11.95
22.658767 6.764664 11.95
16.044277 11.017061 11.96
18.368157 1.999743 11.96
10.944135 2.257493 11.96
20.092654 10.75288 11.96
16.025243 2.276874 11.96
13.132248 3.31675 11.96
12.622032 5.66787 11.96
19.240539 10.256941 11.96
12.555739 3.690636 11.97
11.242667 5.411763 11.97
22.281771 1.742697 11.97
10.110767 3.484406 11.97
11.085209 4.488987 11.97
11.014234 6.235968 11.98
18.198002 1.910997 11.98
16.612496 -0.838221 11.98
11.956902 2.135269 11.98
11.409776 5.226482 11.98
13.600456 -0.462129 11.98
10.244748 3.480718 11.99
12.714948 -0.31291 11.99
10.965932 1.990281 11.99
15.955192 8.912351 11.99
17.694571 8.60167 11.99
21.421381 6.179248 11.99
11.472483 8.404892 12.0
20.398476 -0.072446 12.0
