# ra (deg)
# ___ right ascension (J2000 decimal deg)
# dec (deg)
# ___ declination (J2000 decimal deg)
# err_maj (arcsec)
# ___ Semi-major axis length of the one sigma position uncertainty ellipse
# err_min (arcsec)
# ___ Semi-minor axis length of the one sigma position uncertainty ellipse
# err_ang (deg)
# ___ angle of error ellipse major axis (E of N)
# designation
# ___ source designation formed from sexigesimal coordinates
# j_m (mag)
# ___ J band selected "default" magnitude
# j_cmsig (mag)
# ___ corrected J band photometric uncertainty
# j_msigcom (mag)
# ___ combined (total) J band photometric uncertainty
# j_snr
# ___ J band "scan" signal-to-noise ratio
# h_m (mag)
# ___ H band selected "default" magnitude
# h_cmsig (mag)
# ___ corrected H band photometric uncertainty
# h_msigcom (mag)
# ___ combined (total) H band photometric uncertainty
# h_snr
# ___ H band "scan" signal-to-noise ratio
# k_m (mag)
# ___ K band selected "default" magnitude
# k_cmsig (mag)
# ___ corrected K band photometric uncertainty
# k_msigcom (mag)
# ___ combined (total) K band photometric uncertainty
# k_snr
# ___ K band "scan" signal-to-noise ratio
# ph_qual
# ___ flag indicating photometric quality of source
# rd_flg
# ___ source of JHK "default" mags (AKA "read flag")
# bl_flg
# ___ indicates # JHK components fit simultaneously to source
# cc_flg
# ___ indicates JHK artifact contamination and/or confusion
# ndet
# ___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
# gal_contam
# ___ flag indicating if src is contaminated by extended source
# mp_flg
# ___ src is positionally associated with an asteroid, comet, etc
# j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra dec Kp j h k
345.687083 -6.932249 9.374392237125 7.98 7.522 7.43
345.693251 -6.864945 11.166108956846958 10.315 10.169 10.123
345.701589 -6.886316 10.50504583104084 9.404 9.134 9.074
345.707448 -6.095624 10.068219966534496 8.963 8.676 8.63
345.707632 -8.027932 10.276498655756727 9.218 8.978 8.917
345.743343 -6.356558 9.241818915386595 7.76 7.314 7.163
345.74869 -6.048401 10.420052641348374 9.284 9.007 8.928
345.752192 -2.777398 10.79091547950306 9.143 8.565 8.475
345.753998 -5.842512 9.397356099799605 8.288 8.057 7.952
345.766372 -1.431574 11.22421301720622 10.711 10.686 10.644
345.768014 -2.74605 10.885726580444846 9.775 9.498 9.438
345.77119 -7.1024 9.54088753954681 8.021 7.547 7.406
345.773198 -1.882169 9.54405171225088 7.917 7.407 7.257
345.787821 -5.740786 10.038887463225377 9.336 9.259 9.203
345.806116 -5.0754 11.096994988985868 9.877 9.529 9.453
345.811261 -5.700708 10.543475625268236 8.64 8.06 7.886
345.815624 -8.162707 11.425796907978121 10.247 9.92 9.857
345.828602 -2.456427 11.262562807802308 10.183 9.95 9.868
345.834997 -3.708814 10.47483287144407 9.371 9.054 9.039
345.837058 -5.133323 10.32778829155836 8.507 7.986 7.779
345.85041 -5.370255 11.212395256815666 9.943 9.64 9.479
345.867692 -6.639954 11.435499540185239 10.144 9.742 9.663
345.874869 -6.778826 9.97605171225088 8.349 7.811 7.689
345.891852 -2.558694 9.369851745649585 8.528 8.384 8.34
345.917681 -1.132753 10.619616368039766 9.543 9.265 9.23
345.924485 -6.338388 9.928853008847252 8.337 7.84 7.691
345.933711 -5.643621 10.648719221049477 9.481 9.185 9.1
345.958638 -8.180527 11.20058367077716 9.771 9.298 9.201
345.966713 -5.445776 9.437028491905979 8.356 8.042 8.04
345.970371 -7.75457 11.282510614156116 10.596 10.511 10.469
345.975757 -8.416049 10.521597597233033 9.563 9.369 9.32
345.981091 -1.363239 10.205494525317349 8.679 8.194 8.061
346.006105 -7.852906 10.432575326715863 9.446 9.248 9.188
346.007735 -5.100646 11.041192561125 9.913 9.635 9.563
346.008446 -7.164741 11.422160433204676 10.353 10.106 10.045
